Name=hsa-mir-6723;ID=MI0022558
Name=hsa-mir-34a;ID=MI0000268
Name=hsa-mir-3605;ID=MI0015995
Name=hsa-mir-30e;ID=MI0000749
Name=hsa-mir-30c-1;ID=MI0000736
Name=hsa-mir-6733;ID=MI0022578
Name=hsa-mir-101-1;ID=MI0000103
Name=hsa-mir-3117;ID=MI0014130
Name=hsa-mir-186;ID=MI0000483
Name=hsa-mir-2682;ID=MI0012063
Name=hsa-mir-197;ID=MI0000239
Name=hsa-mir-942;ID=MI0005767
Name=hsa-mir-92b;ID=MI0003560
Name=hsa-mir-9-1;ID=MI0000466
Name=hsa-mir-214;ID=MI0000290
Name=hsa-mir-199a-2;ID=MI0000281
Name=hsa-mir-181b-1;ID=MI0000270
Name=hsa-mir-181a-1;ID=MI0000289
Name=hsa-mir-135b;ID=MI0000810
Name=hsa-mir-29c;ID=MI0000735
Name=hsa-mir-29b-2;ID=MI0000107
Name=hsa-mir-194-1;ID=MI0000488
Name=hsa-mir-664a;ID=MI0006442
Name=hsa-mir-4742;ID=MI0017380
Name=hsa-mir-1537;ID=MI0007258
Name=hsa-mir-4677;ID=MI0017308
Name=hsa-mir-5699;ID=MI0019306
Name=hsa-mir-1296;ID=MI0003780
Name=hsa-mir-3157;ID=MI0014185
Name=hsa-mir-1287;ID=MI0006349
Name=hsa-mir-3158-1;ID=MI0014186
Name=hsa-mir-3158-2;ID=MI0014187
Name=hsa-mir-146b;ID=MI0003129
Name=hsa-mir-1307;ID=MI0006444
Name=hsa-mir-210;ID=MI0000286
Name=hsa-mir-483;ID=MI0002467
Name=hsa-mir-5582;ID=MI0019138
Name=hsa-mir-130a;ID=MI0000448
Name=hsa-mir-192;ID=MI0000234
Name=hsa-mir-194-2;ID=MI0000732
Name=hsa-mir-139;ID=MI0000261
Name=hsa-mir-708;ID=MI0005543
Name=hsa-mir-5579;ID=MI0019133
Name=hsa-mir-1304;ID=MI0006371
Name=hsa-mir-34b;ID=MI0000742
Name=hsa-mir-34c;ID=MI0000743
Name=hsa-mir-125b-1;ID=MI0000446
Name=hsa-let-7a-2;ID=MI0000061
Name=hsa-mir-100;ID=MI0000102
Name=hsa-mir-200c;ID=MI0000650
Name=hsa-mir-141;ID=MI0000457
Name=hsa-mir-615;ID=MI0003628
Name=hsa-mir-148b;ID=MI0000811
Name=hsa-mir-26a-2;ID=MI0000750
Name=hsa-let-7i;ID=MI0000434
Name=hsa-mir-3913-1;ID=MI0016417
Name=hsa-mir-3913-2;ID=MI0016418
Name=hsa-mir-331;ID=MI0000812
Name=hsa-mir-2276;ID=MI0011282
Name=hsa-mir-3613;ID=MI0016003
Name=hsa-mir-16-1;ID=MI0000070
Name=hsa-mir-15a;ID=MI0000069
Name=hsa-mir-17;ID=MI0000071
Name=hsa-mir-18a;ID=MI0000072
Name=hsa-mir-19a;ID=MI0000073
Name=hsa-mir-20a;ID=MI0000076
Name=hsa-mir-19b-1;ID=MI0000074
Name=hsa-mir-92a-1;ID=MI0000093
Name=hsa-mir-624;ID=MI0003638
Name=hsa-mir-548h-1;ID=MI0006411
Name=hsa-mir-625;ID=MI0003639
Name=hsa-mir-342;ID=MI0000805
Name=hsa-mir-345;ID=MI0000825
Name=hsa-mir-770;ID=MI0005118
Name=hsa-mir-493;ID=MI0003132
Name=hsa-mir-337;ID=MI0000806
Name=hsa-mir-431;ID=MI0001721
Name=hsa-mir-433;ID=MI0001723
Name=hsa-mir-127;ID=MI0000472
Name=hsa-mir-432;ID=MI0003133
Name=hsa-mir-136;ID=MI0000475
Name=hsa-mir-370;ID=MI0000778
Name=hsa-mir-379;ID=MI0000787
Name=hsa-mir-411;ID=MI0003675
Name=hsa-mir-299;ID=MI0000744
Name=hsa-mir-380;ID=MI0000788
Name=hsa-mir-323a;ID=MI0000807
Name=hsa-mir-758;ID=MI0003757
Name=hsa-mir-329-1;ID=MI0001725
Name=hsa-mir-329-2;ID=MI0001726
Name=hsa-mir-494;ID=MI0003134
Name=hsa-mir-495;ID=MI0003135
Name=hsa-mir-376c;ID=MI0000776
Name=hsa-mir-376a-2;ID=MI0003529
Name=hsa-mir-654;ID=MI0003676
Name=hsa-mir-376b;ID=MI0002466
Name=hsa-mir-376a-1;ID=MI0000784
Name=hsa-mir-1185-1;ID=MI0003844
Name=hsa-mir-1185-2;ID=MI0003821
Name=hsa-mir-381;ID=MI0000789
Name=hsa-mir-487b;ID=MI0003530
Name=hsa-mir-539;ID=MI0003514
Name=hsa-mir-889;ID=MI0005540
Name=hsa-mir-655;ID=MI0003677
Name=hsa-mir-487a;ID=MI0002471
Name=hsa-mir-382;ID=MI0000790
Name=hsa-mir-134;ID=MI0000474
Name=hsa-mir-668;ID=MI0003761
Name=hsa-mir-485;ID=MI0002469
Name=hsa-mir-323b;ID=MI0014206
Name=hsa-mir-154;ID=MI0000480
Name=hsa-mir-377;ID=MI0000785
Name=hsa-mir-541;ID=MI0005539
Name=hsa-mir-409;ID=MI0001735
Name=hsa-mir-412;ID=MI0002464
Name=hsa-mir-369;ID=MI0000777
Name=hsa-mir-410;ID=MI0002465
Name=hsa-mir-656;ID=MI0003678
Name=hsa-mir-627;ID=MI0003641
Name=hsa-mir-628;ID=MI0003642
Name=hsa-mir-2116;ID=MI0010635
Name=hsa-mir-190a;ID=MI0000486
Name=hsa-mir-629;ID=MI0003643
Name=hsa-mir-7-2;ID=MI0000264
Name=hsa-mir-9-3;ID=MI0000468
Name=hsa-mir-548h-2;ID=MI0006412
Name=hsa-mir-193b;ID=MI0003137
Name=hsa-mir-6770-1;ID=MI0022615
Name=hsa-mir-6770-2;ID=MI0026418
Name=hsa-mir-6770-3;ID=MI0026419
Name=hsa-mir-138-2;ID=MI0000455
Name=hsa-mir-140;ID=MI0000456
Name=hsa-mir-22;ID=MI0000078
Name=hsa-mir-132;ID=MI0000449
Name=hsa-mir-212;ID=MI0000288
Name=hsa-mir-195;ID=MI0000489
Name=hsa-mir-497;ID=MI0003138
Name=hsa-mir-324;ID=MI0000813
Name=hsa-mir-744;ID=MI0005559
Name=hsa-mir-548h-3;ID=MI0006413
Name=hsa-mir-33b;ID=MI0003646
Name=hsa-mir-1180;ID=MI0006273
Name=hsa-mir-144;ID=MI0000460
Name=hsa-mir-423;ID=MI0001445
Name=hsa-mir-193a;ID=MI0000487
Name=hsa-mir-6783;ID=MI0022628
Name=hsa-mir-152;ID=MI0000462
Name=hsa-mir-10a;ID=MI0000266
Name=hsa-mir-142;ID=MI0000458
Name=hsa-mir-454;ID=MI0003820
Name=hsa-mir-301a;ID=MI0000745
Name=hsa-mir-21;ID=MI0000077
Name=hsa-mir-3064;ID=MI0017375
Name=hsa-mir-6516;ID=MI0025513
Name=hsa-mir-3065;ID=MI0014228
Name=hsa-mir-3187;ID=MI0014231
Name=hsa-mir-4746;ID=MI0017385
Name=hsa-mir-7-3;ID=MI0000265
Name=hsa-mir-3940;ID=MI0016597
Name=hsa-mir-199a-1;ID=MI0000242
Name=hsa-mir-24-2;ID=MI0000081
Name=hsa-mir-27a;ID=MI0000085
Name=hsa-mir-23a;ID=MI0000079
Name=hsa-mir-181c;ID=MI0000271
Name=hsa-mir-181d;ID=MI0003139
Name=hsa-mir-330;ID=MI0000803
Name=hsa-mir-769;ID=MI0003834
Name=hsa-mir-99b;ID=MI0000746
Name=hsa-let-7e;ID=MI0000066
Name=hsa-mir-125a;ID=MI0000469
Name=hsa-mir-1301;ID=MI0003815
Name=hsa-mir-3126;ID=MI0014143
Name=hsa-mir-5000;ID=MI0017866
Name=hsa-mir-128-1;ID=MI0000447
Name=hsa-mir-561;ID=MI0003567
Name=hsa-mir-3129;ID=MI0014146
Name=hsa-mir-2355;ID=MI0015873
Name=hsa-mir-6513;ID=MI0022225
Name=hsa-mir-26b;ID=MI0000084
Name=hsa-mir-153-1;ID=MI0000463
Name=hsa-mir-5001;ID=MI0017867
Name=hsa-mir-149;ID=MI0000478
Name=hsa-mir-103a-2;ID=MI0000108
Name=hsa-mir-499a;ID=MI0003183
Name=hsa-mir-3616;ID=MI0016006
Name=hsa-mir-296;ID=MI0000747
Name=hsa-mir-99a;ID=MI0000101
Name=hsa-let-7c;ID=MI0000064
Name=hsa-mir-125b-2;ID=MI0000470
Name=hsa-mir-155;ID=MI0000681
Name=hsa-mir-185;ID=MI0000482
Name=hsa-mir-1306;ID=MI0006443
Name=hsa-mir-130b;ID=MI0000748
Name=hsa-mir-548j;ID=MI0006345
Name=hsa-mir-3200;ID=MI0014249
Name=hsa-mir-659;ID=MI0003683
Name=hsa-mir-4766;ID=MI0017407
Name=hsa-mir-33a;ID=MI0000091
Name=hsa-mir-3619;ID=MI0016009
Name=hsa-let-7a-3;ID=MI0000062
Name=hsa-let-7b;ID=MI0000063
Name=hsa-mir-128-2;ID=MI0000727
Name=hsa-mir-26a-1;ID=MI0000083
Name=hsa-mir-138-1;ID=MI0000476
Name=hsa-mir-1226;ID=MI0006313
Name=hsa-mir-425;ID=MI0001448
Name=hsa-mir-191;ID=MI0000465
Name=hsa-let-7g;ID=MI0000433
Name=hsa-mir-15b;ID=MI0000438
Name=hsa-mir-16-2;ID=MI0000115
Name=hsa-mir-28;ID=MI0000086
Name=hsa-mir-570;ID=MI0003577
Name=hsa-mir-218-1;ID=MI0000294
Name=hsa-mir-574;ID=MI0003581
Name=hsa-mir-576;ID=MI0003583
Name=hsa-mir-367;ID=MI0000775
Name=hsa-mir-302d;ID=MI0000774
Name=hsa-mir-302a;ID=MI0000738
Name=hsa-mir-302c;ID=MI0000773
Name=hsa-mir-302b;ID=MI0000772
Name=hsa-mir-887;ID=MI0005562
Name=hsa-mir-579;ID=MI0003586
Name=hsa-mir-580;ID=MI0003587
Name=hsa-mir-3607;ID=MI0015997
Name=hsa-mir-9-2;ID=MI0000467
Name=hsa-mir-2277;ID=MI0011284
Name=hsa-mir-874;ID=MI0005532
Name=hsa-mir-584;ID=MI0003591
Name=hsa-mir-143;ID=MI0000459
Name=hsa-mir-145;ID=MI0000461
Name=hsa-mir-378a;ID=MI0000786
Name=hsa-mir-146a;ID=MI0000477
Name=hsa-mir-103a-1;ID=MI0000109
Name=hsa-mir-218-2;ID=MI0000295
Name=hsa-mir-3912;ID=MI0016416
Name=hsa-mir-1271;ID=MI0003814
Name=hsa-mir-340;ID=MI0000802
Name=hsa-mir-6720;ID=MI0022555
Name=hsa-mir-219a-1;ID=MI0000296
Name=hsa-mir-30c-2;ID=MI0000254
Name=hsa-mir-30a;ID=MI0000088
Name=hsa-mir-548h-5;ID=MI0016751
Name=hsa-mir-339;ID=MI0000815
Name=hsa-mir-589;ID=MI0003599
Name=hsa-mir-148a;ID=MI0000253
Name=hsa-mir-196b;ID=MI0001150
Name=hsa-mir-590;ID=MI0003602
Name=hsa-mir-1285-1;ID=MI0006346
Name=hsa-mir-25;ID=MI0000082
Name=hsa-mir-93;ID=MI0000095
Name=hsa-mir-106b;ID=MI0000734
Name=hsa-mir-182;ID=MI0000272
Name=hsa-mir-183;ID=MI0000273
Name=hsa-mir-335;ID=MI0000816
Name=hsa-mir-29a;ID=MI0000087
Name=hsa-mir-29b-1;ID=MI0000105
Name=hsa-mir-490;ID=MI0003125
Name=hsa-mir-671;ID=MI0003760
Name=hsa-mir-153-2;ID=MI0000464
Name=hsa-mir-4659a;ID=MI0017287
Name=hsa-mir-598;ID=MI0003610
Name=hsa-mir-383;ID=MI0000791
Name=hsa-mir-548h-4;ID=MI0006414
Name=hsa-mir-486;ID=MI0002470
Name=hsa-mir-486-2;ID=MI0023622
Name=hsa-mir-548a-3;ID=MI0003612
Name=hsa-mir-30b;ID=MI0000441
Name=hsa-mir-30d;ID=MI0000255
Name=hsa-mir-151a;ID=MI0000809
Name=hsa-mir-939;ID=MI0005761
Name=hsa-mir-101-2;ID=MI0000739
Name=hsa-mir-3152;ID=MI0014179
Name=hsa-mir-491;ID=MI0003126
Name=hsa-mir-31;ID=MI0000089
Name=hsa-mir-7-1;ID=MI0000263
Name=hsa-let-7a-1;ID=MI0000060
Name=hsa-let-7f-1;ID=MI0000067
Name=hsa-let-7d;ID=MI0000065
