Name=hsa-mir-6859-1;ID=MI0022705
Name=hsa-mir-6726;ID=MI0022571
Name=hsa-mir-6727;ID=MI0022572
Name=hsa-mir-6808;ID=MI0022653
Name=hsa-mir-6728;ID=MI0022573
Name=hsa-mir-6729;ID=MI0022574
Name=hsa-mir-7846;ID=MI0025516
Name=hsa-mir-4632;ID=MI0017259
Name=hsa-mir-6730;ID=MI0022575
Name=hsa-mir-4695;ID=MI0017328
Name=hsa-mir-4684;ID=MI0017316
Name=hsa-mir-6731;ID=MI0022576
Name=hsa-mir-5585;ID=MI0019142
Name=hsa-mir-552;ID=MI0003557
Name=hsa-mir-6732;ID=MI0022577
Name=hsa-mir-6734;ID=MI0022579
Name=hsa-mir-6735;ID=MI0022580
Name=hsa-mir-5584;ID=MI0019141
Name=hsa-mir-6500;ID=MI0022211
Name=hsa-mir-1273g;ID=MI0018003
Name=hsa-mir-4711;ID=MI0017345
Name=hsa-mir-7156;ID=MI0023616
Name=hsa-mir-4423;ID=MI0016760
Name=hsa-mir-7856;ID=MI0025526
Name=hsa-mir-7852;ID=MI0025522
Name=hsa-mir-6736;ID=MI0022581
Name=hsa-mir-6878;ID=MI0022725
Name=hsa-mir-6737;ID=MI0022582
Name=hsa-mir-6738;ID=MI0022583
Name=hsa-mir-5187;ID=MI0018166
Name=hsa-mir-1255b-2;ID=MI0006436
Name=hsa-mir-1295b;ID=MI0019146
Name=hsa-mir-488;ID=MI0003123
Name=hsa-mir-3121;ID=MI0014137
Name=hsa-mir-4735;ID=MI0017372
Name=hsa-mir-6739;ID=MI0022584
Name=hsa-mir-6740;ID=MI0022585
Name=hsa-mir-6769b;ID=MI0022706
Name=hsa-mir-205;ID=MI0000285
Name=hsa-mir-6741;ID=MI0022586
Name=hsa-mir-5008;ID=MI0017876
Name=hsa-mir-3620;ID=MI0016011
Name=hsa-mir-6742;ID=MI0022587
Name=hsa-mir-4666a;ID=MI0017296
Name=hsa-mir-4671;ID=MI0017302
Name=hsa-mir-511;ID=MI0003127
Name=hsa-mir-511;ID=MI0003127
Name=hsa-mir-511;ID=MI0003127
Name=hsa-mir-511;ID=MI0003127
Name=hsa-mir-1915;ID=MI0008336
Name=hsa-mir-7162;ID=MI0023623
Name=hsa-mir-3156-1;ID=MI0014184
Name=hsa-mir-548f-1;ID=MI0006374
Name=hsa-mir-7152;ID=MI0023612
Name=hsa-mir-4676;ID=MI0017307
Name=hsa-mir-4685;ID=MI0017317
Name=hsa-mir-6507;ID=MI0022219
Name=hsa-mir-4482;ID=MI0016843
Name=hsa-mir-4680;ID=MI0017312
Name=hsa-mir-6715b;ID=MI0022549
Name=hsa-mir-6715a;ID=MI0022548
Name=hsa-mir-3663;ID=MI0016064
Name=hsa-mir-202;ID=MI0003130
Name=hsa-mir-3944;ID=MI0016601
Name=hsa-mir-6743;ID=MI0022588
Name=hsa-mir-6744;ID=MI0022589
Name=hsa-mir-7847;ID=MI0025517
Name=hsa-mir-4694;ID=MI0017327
Name=hsa-mir-1343;ID=MI0017320
Name=hsa-mir-670;ID=MI0003933
Name=hsa-mir-7154;ID=MI0023614
Name=hsa-mir-3160-1;ID=MI0014189
Name=hsa-mir-3160-2;ID=MI0014190
Name=hsa-mir-3162;ID=MI0014192
Name=hsa-mir-6503;ID=MI0022215
Name=hsa-mir-1908;ID=MI0008329
Name=hsa-mir-6746;ID=MI0022591
Name=hsa-mir-6747;ID=MI0022592
Name=hsa-mir-6748;ID=MI0022593
Name=hsa-mir-7155;ID=MI0023615
Name=hsa-mir-6750;ID=MI0022595
Name=hsa-mir-6749;ID=MI0022594
Name=hsa-mir-6879;ID=MI0022726
Name=hsa-mir-4690;ID=MI0017323
Name=hsa-mir-6752;ID=MI0022597
Name=hsa-mir-7113;ID=MI0022964
Name=hsa-mir-4691;ID=MI0017324
Name=hsa-mir-6753;ID=MI0022598
Name=hsa-mir-6754;ID=MI0022599
Name=hsa-mir-6755;ID=MI0022600
Name=hsa-mir-4693;ID=MI0017326
Name=hsa-mir-6716;ID=MI0022550
Name=hsa-mir-6756;ID=MI0022601
Name=hsa-mir-4697;ID=MI0017330
Name=hsa-mir-7851;ID=MI0025521
Name=hsa-mir-4701;ID=MI0017334
Name=hsa-mir-6757;ID=MI0022602
Name=hsa-mir-196a-2;ID=MI0000279
Name=hsa-mir-6759;ID=MI0022604
Name=hsa-mir-548c;ID=MI0003630
Name=hsa-mir-6502;ID=MI0022214
Name=hsa-mir-4699;ID=MI0017332
Name=hsa-mir-7844;ID=MI0025514
Name=hsa-mir-1251;ID=MI0006386
Name=hsa-mir-135a-2;ID=MI0000453
Name=hsa-mir-619;ID=MI0003633
