chr	source	feature	start	end	score	strand	frame	group	log_RPKM	expression
chr1	.	miRNA	17369	17436	.	-	.	Name=hsa-mir-6859-1;ID=MI0022705	0.0575052747878735	0
chr1	.	miRNA	567705	567793	.	-	.	Name=hsa-mir-6723;ID=MI0022558	4.29003049329011	2
chr1	.	miRNA	1102484	1102578	.	+	.	Name=hsa-mir-200b;ID=MI0000342	1.97328723678614	1
chr1	.	miRNA	1103243	1103332	.	+	.	Name=hsa-mir-200a;ID=MI0000737	3.91946711453171	2
chr1	.	miRNA	1231490	1231550	.	-	.	Name=hsa-mir-6726;ID=MI0022571	0.197267217163032	0
chr1	.	miRNA	1247882	1247946	.	-	.	Name=hsa-mir-6727;ID=MI0022572	0.101957037358707	0
chr1	.	miRNA	1275030	1275088	.	-	.	Name=hsa-mir-6808;ID=MI0022653	0.505375298960379	0
chr1	.	miRNA	8926561	8926649	.	-	.	Name=hsa-mir-6728;ID=MI0022573	0.505375298960379	0
chr1	.	miRNA	9211727	9211836	.	-	.	Name=hsa-mir-34a;ID=MI0000268	8.81266486919693	2
chr1	.	miRNA	12089215	12089279	.	+	.	Name=hsa-mir-6729;ID=MI0022574	0.101957037358707	0
chr1	.	miRNA	12227000	12227095	.	+	.	Name=hsa-mir-7846;ID=MI0025516	0.1484770529936	0
chr1	.	miRNA	12251770	12251830	.	+	.	Name=hsa-mir-4632;ID=MI0017259	0.101957037358707	0
chr1	.	miRNA	12638985	12639051	.	-	.	Name=hsa-mir-6730;ID=MI0022575	0.101957037358707	0
chr1	.	miRNA	17185444	17185516	.	-	.	Name=hsa-mir-3675;ID=MI0016076	0.101957037358707	0
chr1	.	miRNA	19209696	19209769	.	-	.	Name=hsa-mir-4695;ID=MI0017328	0.101957037358707	0
chr1	.	miRNA	23046010	23046091	.	+	.	Name=hsa-mir-4684;ID=MI0017316	0.101957037358707	0
chr1	.	miRNA	25245836	25245907	.	-	.	Name=hsa-mir-6731;ID=MI0022576	0.101957037358707	0
chr1	.	miRNA	32552550	32552608	.	+	.	Name=hsa-mir-5585;ID=MI0019142	1.01456042366189	1
chr1	.	miRNA	33797994	33798093	.	-	.	Name=hsa-mir-3605;ID=MI0015995	2.19576561481477	1
chr1	.	miRNA	35135200	35135295	.	-	.	Name=hsa-mir-552;ID=MI0003557	0.1484770529936	0
chr1	.	miRNA	37945831	37945890	.	+	.	Name=hsa-mir-6732;ID=MI0022577	0.509464810949201	0
chr1	.	miRNA	37966536	37966595	.	-	.	Name=hsa-mir-5581;ID=MI0019136	1.48671665650589	1
chr1	.	miRNA	41220027	41220118	.	+	.	Name=hsa-mir-30e;ID=MI0000749	10.1835135504512	2
chr1	.	miRNA	41222956	41223044	.	+	.	Name=hsa-mir-30c-1;ID=MI0000736	8.0352945772207	2
chr1	.	miRNA	43637323	43637383	.	-	.	Name=hsa-mir-6733;ID=MI0022578	3.95336585131076	2
chr1	.	miRNA	43830319	43830386	.	-	.	Name=hsa-mir-6734;ID=MI0022579	0.0575052747878735	0
chr1	.	miRNA	43914210	43914282	.	+	.	Name=hsa-mir-6735;ID=MI0022580	0.418363921970749	0
chr1	.	miRNA	45011165	45011224	.	+	.	Name=hsa-mir-5584;ID=MI0019141	0.795104217918653	0
chr1	.	miRNA	51525690	51525775	.	+	.	Name=hsa-mir-6500;ID=MI0022211	1.20056932602682	1
chr1	.	miRNA	53405986	53406085	.	+	.	Name=hsa-mir-1273g;ID=MI0018003	0.101957037358707	0
chr1	.	miRNA	54519752	54519827	.	+	.	Name=hsa-mir-4781;ID=MI0017426	1.02192156822211	1
chr1	.	miRNA	60198899	60198968	.	-	.	Name=hsa-mir-4711;ID=MI0017345	0.197267217163032	0
chr1	.	miRNA	65524117	65524191	.	-	.	Name=hsa-mir-101-1;ID=MI0000103	11.1550748163826	2
chr1	.	miRNA	67094123	67094200	.	+	.	Name=hsa-mir-3117;ID=MI0014130	0.197267217163032	0
chr1	.	miRNA	71533314	71533399	.	-	.	Name=hsa-mir-186;ID=MI0000483	10.0374231237511	2
chr1	.	miRNA	77525828	77525887	.	+	.	Name=hsa-mir-7156;ID=MI0023616	0.0575052747878735	0
chr1	.	miRNA	85599477	85599556	.	+	.	Name=hsa-mir-4423;ID=MI0016760	0.505375298960379	0
chr1	.	miRNA	86823315	86823370	.	-	.	Name=hsa-mir-7856;ID=MI0025526	0.1484770529936	0
chr1	.	miRNA	98510798	98510907	.	-	.	Name=hsa-mir-2682;ID=MI0012063	0.101957037358707	0
chr1	.	miRNA	108439845	108439926	.	+	.	Name=hsa-mir-7852;ID=MI0025522	0.101957037358707	0
chr1	.	miRNA	110141515	110141589	.	+	.	Name=hsa-mir-197;ID=MI0000239	2.54083085797963	1
chr1	.	miRNA	117637265	117637350	.	+	.	Name=hsa-mir-942;ID=MI0005767	5.74096618972045	2
chr1	.	miRNA	145584423	145584481	.	+	.	Name=hsa-mir-6736;ID=MI0022581	0.1484770529936	0
chr1	.	miRNA	150464821	150464886	.	+	.	Name=hsa-mir-6878;ID=MI0022725	0.101957037358707	0
chr1	.	miRNA	153934827	153934896	.	-	.	Name=hsa-mir-6737;ID=MI0022582	0.101957037358707	0
chr1	.	miRNA	155164968	155165063	.	+	.	Name=hsa-mir-92b;ID=MI0003560	9.3241091175044	2
chr1	.	miRNA	155921064	155921127	.	-	.	Name=hsa-mir-6738;ID=MI0022583	0.422453433959572	0
chr1	.	miRNA	156390133	156390221	.	-	.	Name=hsa-mir-9-1;ID=MI0000466	4.72777145357309	2
chr1	.	miRNA	161196976	161197051	.	+	.	Name=hsa-mir-5187;ID=MI0018166	0.101957037358707	0
chr1	.	miRNA	162312336	162312430	.	+	.	Name=hsa-mir-556;ID=MI0003562	4.62547770852372	2
chr1	.	miRNA	167967898	167967964	.	+	.	Name=hsa-mir-1255b-2;ID=MI0006436	0.101957037358707	0
chr1	.	miRNA	171070880	171070939	.	+	.	Name=hsa-mir-1295b;ID=MI0019146	0.101957037358707	0
chr1	.	miRNA	172107938	172108047	.	-	.	Name=hsa-mir-214;ID=MI0000290	1.02192156822211	1
chr1	.	miRNA	172107948	172108028	.	+	.	Name=hsa-mir-3120;ID=MI0014136	2.02169382721139	1
chr1	.	miRNA	172113675	172113784	.	-	.	Name=hsa-mir-199a-2;ID=MI0000281	4.68228117017902	2
chr1	.	miRNA	176998499	176998581	.	-	.	Name=hsa-mir-488;ID=MI0003123	2.01886262865835	1
chr1	.	miRNA	180407449	180407525	.	-	.	Name=hsa-mir-3121;ID=MI0014137	0.509464810949201	0
chr1	.	miRNA	196551543	196551611	.	-	.	Name=hsa-mir-4735;ID=MI0017372	0.101957037358707	0
chr1	.	miRNA	198828002	198828111	.	-	.	Name=hsa-mir-181b-1;ID=MI0000270	6.67466853814588	2
chr1	.	miRNA	198828173	198828282	.	-	.	Name=hsa-mir-181a-1;ID=MI0000289	7.90244207682738	2
chr1	.	miRNA	201832501	201832575	.	+	.	Name=hsa-mir-6739;ID=MI0022584	1.35559594488374	1
chr1	.	miRNA	201972252	201972364	.	+	.	Name=hsa-mir-6740;ID=MI0022585	0.509464810949201	0
chr1	.	miRNA	205417430	205417526	.	-	.	Name=hsa-mir-135b;ID=MI0000810	4.65454167131514	2
chr1	.	miRNA	206648146	206648207	.	+	.	Name=hsa-mir-6769b;ID=MI0022706	0.101957037358707	0
chr1	.	miRNA	207975197	207975284	.	-	.	Name=hsa-mir-29c;ID=MI0000735	8.1750043866617	2
chr1	.	miRNA	207975788	207975868	.	-	.	Name=hsa-mir-29b-2;ID=MI0000107	10.9845730810071	2
chr1	.	miRNA	209605478	209605587	.	+	.	Name=hsa-mir-205;ID=MI0000285	1.20261199150915	1
chr1	.	miRNA	220291195	220291304	.	-	.	Name=hsa-mir-215;ID=MI0000291	7.34845615250696	2
chr1	.	miRNA	220291499	220291583	.	-	.	Name=hsa-mir-194-1;ID=MI0000488	9.66464891479429	2
chr1	.	miRNA	220373880	220373961	.	-	.	Name=hsa-mir-664a;ID=MI0006442	3.21324314047272	2
chr1	.	miRNA	224585929	224586013	.	-	.	Name=hsa-mir-4742;ID=MI0017380	3.00355723120525	1
chr1	.	miRNA	226109780	226109842	.	-	.	Name=hsa-mir-6741;ID=MI0022586	0.101957037358707	0
chr1	.	miRNA	228129291	228129384	.	-	.	Name=hsa-mir-5008;ID=MI0017876	2.84141094571335	1
chr1	.	miRNA	228284964	228285042	.	+	.	Name=hsa-mir-3620;ID=MI0016011	0.101957037358707	0
chr1	.	miRNA	228584749	228584810	.	-	.	Name=hsa-mir-6742;ID=MI0022587	3.51217045684227	2
chr1	.	miRNA	228649775	228649853	.	+	.	Name=hsa-mir-4666a;ID=MI0017296	0.555984826584094	0
chr1	.	miRNA	234442213	234442285	.	+	.	Name=hsa-mir-4671;ID=MI0017302	2.77504749616207	1
chr1	.	miRNA	235353349	235353431	.	-	.	Name=hsa-mir-4753;ID=MI0017392	0.795104217918653	0
chr1	.	miRNA	236016300	236016360	.	-	.	Name=hsa-mir-1537;ID=MI0007258	4.23422402395475	2
