chr	source	feature	start	end	score	strand	frame	group	log_RPM	expression
chr1	.	miRNA	17369	17436	.	-	.	Name=hsa-mir-6859-1;ID=MI0022705	-5.17496571531869	0
chr1	.	miRNA	567705	567793	.	-	.	Name=hsa-mir-6723;ID=MI0022558	0.92483471286856	2
chr1	.	miRNA	1102484	1102578	.	+	.	Name=hsa-mir-200b;ID=MI0000342	-2.52180699038517	1
chr1	.	miRNA	1103243	1103332	.	+	.	Name=hsa-mir-200a;ID=MI0000737	-1.77644331543365	1
chr1	.	miRNA	1231490	1231550	.	-	.	Name=hsa-mir-6726;ID=MI0022571	-5.17496571531869	0
chr1	.	miRNA	1247882	1247946	.	-	.	Name=hsa-mir-6727;ID=MI0022572	-5.17496571531869	0
chr1	.	miRNA	1275030	1275088	.	-	.	Name=hsa-mir-6808;ID=MI0022653	-5.17496571531869	0
chr1	.	miRNA	8926561	8926649	.	-	.	Name=hsa-mir-6728;ID=MI0022573	-3.54322515443922	0
chr1	.	miRNA	9211727	9211836	.	-	.	Name=hsa-mir-34a;ID=MI0000268	8.26279432899062	2
chr1	.	miRNA	12089215	12089279	.	+	.	Name=hsa-mir-6729;ID=MI0022574	-4.74122029603076	0
chr1	.	miRNA	12227000	12227095	.	+	.	Name=hsa-mir-7846;ID=MI0025516	-5.17496571531869	0
chr1	.	miRNA	12251770	12251830	.	+	.	Name=hsa-mir-4632;ID=MI0017259	-5.17496571531869	0
chr1	.	miRNA	12638985	12639051	.	-	.	Name=hsa-mir-6730;ID=MI0022575	-5.17496571531869	0
chr1	.	miRNA	17185444	17185516	.	-	.	Name=hsa-mir-3675;ID=MI0016076	-1.94710905444162	1
chr1	.	miRNA	19209696	19209769	.	-	.	Name=hsa-mir-4695;ID=MI0017328	-5.17496571531869	0
chr1	.	miRNA	23046010	23046091	.	+	.	Name=hsa-mir-4684;ID=MI0017316	-5.17496571531869	0
chr1	.	miRNA	25245836	25245907	.	-	.	Name=hsa-mir-6731;ID=MI0022576	-4.79860402865823	0
chr1	.	miRNA	32552550	32552608	.	+	.	Name=hsa-mir-5585;ID=MI0019142	-3.98563862802063	0
chr1	.	miRNA	33797994	33798093	.	-	.	Name=hsa-mir-3605;ID=MI0015995	-0.271010427356009	2
chr1	.	miRNA	35135200	35135295	.	-	.	Name=hsa-mir-552;ID=MI0003557	-5.17496571531869	0
chr1	.	miRNA	37945831	37945890	.	+	.	Name=hsa-mir-6732;ID=MI0022577	-3.60610358726433	0
chr1	.	miRNA	37966536	37966595	.	-	.	Name=hsa-mir-5581;ID=MI0019136	-1.840644236258	1
chr1	.	miRNA	41220027	41220118	.	+	.	Name=hsa-mir-30e;ID=MI0000749	6.79076237241924	2
chr1	.	miRNA	41222956	41223044	.	+	.	Name=hsa-mir-30c-1;ID=MI0000736	3.28771732608049	2
chr1	.	miRNA	43637323	43637383	.	-	.	Name=hsa-mir-6733;ID=MI0022578	-0.579576062472873	2
chr1	.	miRNA	43830319	43830386	.	-	.	Name=hsa-mir-6734;ID=MI0022579	-5.17496571531869	0
chr1	.	miRNA	43914210	43914282	.	+	.	Name=hsa-mir-6735;ID=MI0022580	-5.17496571531869	0
chr1	.	miRNA	45011165	45011224	.	+	.	Name=hsa-mir-5584;ID=MI0019141	-5.17496571531869	0
chr1	.	miRNA	51525690	51525775	.	+	.	Name=hsa-mir-6500;ID=MI0022211	-5.17496571531869	0
chr1	.	miRNA	53405986	53406085	.	+	.	Name=hsa-mir-1273g;ID=MI0018003	-5.17496571531869	0
chr1	.	miRNA	54519752	54519827	.	+	.	Name=hsa-mir-4781;ID=MI0017426	-1.57867085491697	1
chr1	.	miRNA	60198899	60198968	.	-	.	Name=hsa-mir-4711;ID=MI0017345	-4.79860402865823	0
chr1	.	miRNA	65524117	65524191	.	-	.	Name=hsa-mir-101-1;ID=MI0000103	5.21092562058451	2
chr1	.	miRNA	67094123	67094200	.	+	.	Name=hsa-mir-3117;ID=MI0014130	2.3932579835437	2
chr1	.	miRNA	71533314	71533399	.	-	.	Name=hsa-mir-186;ID=MI0000483	4.77648030015832	2
chr1	.	miRNA	77525828	77525887	.	+	.	Name=hsa-mir-7156;ID=MI0023616	-5.17496571531869	0
chr1	.	miRNA	85599477	85599556	.	+	.	Name=hsa-mir-4423;ID=MI0016760	-5.17496571531869	0
chr1	.	miRNA	86823315	86823370	.	-	.	Name=hsa-mir-7856;ID=MI0025526	-5.17496571531869	0
chr1	.	miRNA	98510798	98510907	.	-	.	Name=hsa-mir-2682;ID=MI0012063	0.25226973662832	2
chr1	.	miRNA	108439845	108439926	.	+	.	Name=hsa-mir-7852;ID=MI0025522	-5.17496571531869	0
chr1	.	miRNA	110141515	110141589	.	+	.	Name=hsa-mir-197;ID=MI0000239	0.447604133119774	2
chr1	.	miRNA	117637265	117637350	.	+	.	Name=hsa-mir-942;ID=MI0005767	1.87736464804861	2
chr1	.	miRNA	145584423	145584481	.	+	.	Name=hsa-mir-6736;ID=MI0022581	-4.43969243723542	0
chr1	.	miRNA	150464821	150464886	.	+	.	Name=hsa-mir-6878;ID=MI0022725	-5.17496571531869	0
chr1	.	miRNA	153934827	153934896	.	-	.	Name=hsa-mir-6737;ID=MI0022582	-3.53168615139901	0
chr1	.	miRNA	155164968	155165063	.	+	.	Name=hsa-mir-92b;ID=MI0003560	3.84481052256778	2
chr1	.	miRNA	155921064	155921127	.	-	.	Name=hsa-mir-6738;ID=MI0022583	-4.43969243723542	0
chr1	.	miRNA	156390133	156390221	.	-	.	Name=hsa-mir-9-1;ID=MI0000466	2.39062505789464	2
chr1	.	miRNA	161196976	161197051	.	+	.	Name=hsa-mir-5187;ID=MI0018166	-5.17496571531869	0
chr1	.	miRNA	162312336	162312430	.	+	.	Name=hsa-mir-556;ID=MI0003562	-2.63896378396789	1
chr1	.	miRNA	167967898	167967964	.	+	.	Name=hsa-mir-1255b-2;ID=MI0006436	-5.17496571531869	0
